County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile
Butte ,SD,18.5,24.2,6.3,41332,21744,10.2,10110,10298,1.9,4.5
Campbell ,SD,24.7,16.6,3.8,35729,24152,14.2,1466,1386,-5.5,2
Charles Mix ,SD,17.9,29.5,8.6,40102,19030,23.6,9129,9287,1.7,8.3
Clark ,SD,20.4,23.9,8.3,49055,27878,14.9,3691,3645,-1.2,3.9
Clay ,SD,11.2,18.1,5.7,38173,20595,24.5,13864,13932,0.5,33.6
Codington ,SD,15.5,24.4,7,47214,25582,11.1,27227,27938,2.6,39.5
Corson ,SD,10.5,34.6,9.4,30880,14262,44.2,4050,4182,3.3,1.6
Custer ,SD,25.6,16.9,3.9,50074,28356,10.3,8216,8445,2.8,5.3
Davison ,SD,17.4,23,6.3,48341,24597,12.2,19504,19885,2,44.8
Day ,SD,24.4,22,5.7,39761,23126,20.8,5710,5588,-2.1,5.6
Deuel ,SD,21,23,5.5,51632,27525,4.7,4364,4312,-1.2,7
Dewey ,SD,10,35.1,11.7,30710,15558,33.3,5301,5662,6.8,2.3
Douglas ,SD,24.8,22.8,6.3,49200,28323,12,3002,2973,-1,7
Edmunds ,SD,21.4,22.7,5.5,49831,25775,12.5,4071,3983,-2.2,3.6
Fall River ,SD,26.1,17.9,3.3,37667,23624,17.4,7094,6845,-3.5,4.1
Faulk ,SD,23.4,22.4,6.1,41453,23069,13.3,2364,2357,-0.3,2.4
Grant ,SD,20,22.4,5.7,48896,24554,11.4,7356,7241,-1.6,10.8
Gregory ,SD,24.1,22.7,5.7,36719,23041,19.2,4271,4217,-1.3,4.2
Haakon ,SD,23.2,22.4,6.3,47198,25754,14.9,1937,1847,-4.6,1.1
Hamlin ,SD,17.5,31.3,9.5,55563,25233,7.2,5903,5989,1.5,11.6
Hand ,SD,24.5,21,5.2,47679,26027,12.4,3431,3345,-2.5,2.4
Hanson ,SD,13.6,33,9.7,55815,23197,15.8,3331,3419,2.6,7.7
Harding ,SD,15.7,22.4,7.8,44353,22247,17.6,1255,1250,-0.4,0.5
Hughes ,SD,15.1,23.8,7,59338,30284,11.4,17022,17642,3.6,23
Hutchinson ,SD,23.7,23.6,6.8,42451,26110,13.2,7343,7200,-1.9,9
Hyde ,SD,23.9,21.4,5,47813,26195,8.1,1420,1396,-1.7,1.7
Jackson ,SD,13.3,34.1,10.9,46224,20319,22.3,3031,3274,8,1.6
Jerauld ,SD,24.9,23.2,6.7,46591,26590,12.2,2071,2007,-3.1,3.9
Jones ,SD,21.6,21.1,5.1,44808,23377,14.4,1006,975,-3.1,1
Kingsbury ,SD,21.5,22.1,6.3,51373,27485,9.2,5148,5075,-1.4,6.2
Lake ,SD,19.8,19.7,5.5,48936,27015,16.3,11200,12368,10.4,19.9
Lawrence ,SD,18.5,18.3,4.7,43273,27498,14.4,24097,24657,2.3,30.1
Lincoln ,SD,10.4,29.2,8.3,74751,34839,4.5,44828,51548,15,77.7
Lyman ,SD,15.2,28.7,8.3,47596,20586,17,3755,3877,3.2,2.3
McCook ,SD,19.5,26.2,7,52703,26505,7.8,5618,5649,0.6,9.8
McPherson ,SD,28.2,22.2,5.7,37240,22596,19.9,2459,2429,-1.2,2.2
Marshall ,SD,19.8,21.4,6.2,46597,24205,18.6,4656,4683,0.6,5.6
Meade ,SD,13.7,24,6.3,49324,25375,11,25434,26951,5.9,7.3
Mellette ,SD,15.6,30.8,9.4,35109,15760,36.6,2048,2100,2.5,1.6
Miner ,SD,21.8,23.7,5.6,48477,31288,9.5,2389,2316,-3.1,4.2
Minnehaha ,SD,12.2,25.1,7.7,52345,26380,10.9,169468,182882,7.9,210
Moody ,SD,17.1,25.5,7.5,51791,27682,11.9,6486,6367,-1.8,12.5
Pennington ,SD,15.4,24,7,50833,27000,13.5,100948,108242,7.2,36.4
Perkins ,SD,23,21.5,5.2,38362,25751,14.1,2982,3033,1.7,1
Potter ,SD,28.4,20.6,5.4,44556,26180,13.1,2329,2340,0.5,2.7
Roberts ,SD,18.1,28.5,8.7,47191,22670,19.6,10149,10374,2.2,9.2
Sanborn ,SD,18.9,22.2,6.4,48384,25823,12,2355,2336,-0.8,4.1
Shannon ,SD,6.8,38.1,11.7,25648,8768,53.2,13586,14218,4.7,6.5
Spink ,SD,19.6,24,5.9,48911,27757,13.2,6415,6598,2.9,4.3
Stanley ,SD,17.1,23.9,5.9,54620,30933,10.2,2966,2983,0.6,2.1
Sully ,SD,18.8,21.6,4.9,54524,30218,5.8,1373,1438,4.7,1.4
Todd ,SD,7.3,40.4,13,31934,10575,44.6,9612,9882,2.8,6.9
Tripp ,SD,21.6,22.4,6.2,39324,23270,20.6,5644,5512,-2.3,3.5
Turner ,SD,20.5,23.2,6,51925,25406,9.1,8347,8272,-0.9,13.5
Union ,SD,15.5,25.4,6.1,63468,36167,4.4,14399,15029,4.4,31.3
Walworth ,SD,24.3,22.6,6,41826,25915,10.9,5438,5511,1.3,7.7
Yankton ,SD,17.5,21.1,5.8,52578,27268,13.4,22438,22684,1.1,43.1
Ziebach ,SD,6.7,35.7,6.3,32708,12339,42.3,2801,2826,0.9,1.4
Anderson ,TN,18.9,21,5.3,43620,24561,18.2,75129,75528,0.5,222.8
Bedford ,TN,14.4,26.2,6.7,40759,19303,20,45058,46627,3.5,95.1
Benton ,TN,22.5,19.8,5.1,33033,18456,22.1,16489,16145,-2.1,41.8
Bledsoe ,TN,18.2,17.4,3.9,33443,15747,22.4,12876,13931,8.3,31.7
Blount ,TN,18.4,21.1,5.1,45991,23788,13.7,123010,126339,2.7,220.2
Bradley ,TN,15.8,22.4,5.6,41083,21649,19.8,98963,102975,4.1,301
Campbell ,TN,19.3,21,5.2,31943,16812,23.8,40716,39918,-2,84.8
Cannon ,TN,18.1,21.2,5.4,40689,20566,17.8,13801,13757,-0.3,52
Carroll ,TN,19.7,21.6,6,35049,18330,20.1,28522,28370,-0.5,47.6
Carter ,TN,19.7,19.1,4.9,31842,19018,22.9,57424,56886,-0.9,168.3
Cheatham ,TN,13.2,23.6,5.6,52446,23459,13.8,39105,39764,1.7,129.3
Chester ,TN,16.7,21.9,4.9,41875,18817,19.9,17131,17379,1.4,60
Claiborne ,TN,18.5,19.6,4.7,33229,18583,22.9,32213,31592,-1.9,74.1
Clay ,TN,23.7,20.5,5.4,29727,16867,20.6,7861,7765,-1.2,33.2
Cocke ,TN,19.2,20.9,5.2,30573,17476,26.1,35662,35374,-0.8,82.1
Coffee ,TN,16.9,23.9,6,37618,20357,20.9,52796,53623,1.6,123.1
Crockett ,TN,17.4,24.5,5.8,36066,18664,18.9,14586,14668,0.6,54.9
Cumberland ,TN,28.9,18.3,5,37188,21141,17.6,56053,57985,3.4,82.3
Davidson ,TN,11.1,21.5,7,47335,28467,18.5,626681,668347,6.7,1243.3
Decatur ,TN,22.7,20,4.9,36258,25368,22.6,11757,11666,-0.7,35.2
DeKalb ,TN,17.5,22.6,5.8,37482,21606,19,18723,19268,2.9,61.5
Dickson ,TN,15.1,23.4,5.9,44318,21547,15.4,49666,50575,1.9,101.4
Dyer ,TN,16.5,24.1,6.5,38953,21208,17.8,38335,37935,-1,74.8
Fayette ,TN,18.7,20.9,5.4,56618,28201,14,38413,39011,1.6,54.5
Fentress ,TN,20,21.9,5,29192,16454,25.7,17959,17855,-0.6,36
Franklin ,TN,19,21,4.9,42904,22398,15.1,41052,41402,0.9,74
Gibson ,TN,17.6,24.3,6.4,38343,20402,18.7,49683,49472,-0.4,82.4
Giles ,TN,18.9,21,5.3,38495,19998,19.5,29485,28853,-2.1,48.3
Grainger ,TN,18.5,21.1,4.9,32364,17933,20.4,22657,22864,0.9,80.7
Greene ,TN,20,20,4.7,35545,19801,22,68831,68335,-0.7,110.6
Grundy ,TN,20.7,21.6,5.2,26814,15683,29.7,13703,13425,-2.1,38
Hamblen ,TN,17.6,23.4,6.2,39596,21261,19.2,62544,63036,0.8,388
Hamilton ,TN,16,21.2,5.9,46702,27229,16.6,336463,351220,4.4,620.3
Hancock ,TN,18.5,21.2,5.6,23892,14326,30.8,6819,6657,-2.4,30.7
Hardeman ,TN,16.3,20,4.9,30973,14975,24.6,27253,25965,-4.7,40.8
Hardin ,TN,21,20.8,5.2,33622,20127,22.6,26026,25870,-0.6,45.1
Hawkins ,TN,19.2,21.1,5.1,37357,20662,16.2,56833,56735,-0.2,116.7
Haywood ,TN,16.1,23.7,5.8,34542,18714,21.1,18787,18185,-3.2,35.2
Henderson ,TN,16.8,23.3,5.9,38280,20449,18.8,27769,28009,0.8,53.4
Henry ,TN,21.6,21,5,36950,22239,19.2,32330,32204,-0.4,57.5
Hickman ,TN,15.6,21.8,5.5,39581,18383,17.4,24690,24384,-1.3,40.3
Houston ,TN,19.5,21.8,5,35271,18539,23.5,8426,8267,-1.9,42.1
Humphreys ,TN,19,22,5.9,42846,22183,13.9,18538,18135,-2.2,34.9
Jackson ,TN,20.8,19.1,4.9,33386,18387,22.1,11638,11568,-0.6,37.7
Jefferson ,TN,19.1,20.8,5.2,39745,20619,18.3,51407,52677,2.1,187.6
Johnson ,TN,20.5,17.5,4.3,29609,16470,26.4,18244,17859,-2.1,61.1
Knox ,TN,14.5,21.5,5.8,47694,28136,14.6,432226,448644,3.8,850.5
Lake ,TN,14.7,15.6,4.5,27115,12042,31.7,7832,7631,-2.6,47.2
Lauderdale ,TN,13.8,23.2,5.6,32326,15758,26,27815,27382,-1.6,58.9
Lawrence ,TN,17.5,24.9,6.8,37368,19136,18.1,41869,42274,1,67.8
Lewis ,TN,18.7,22.2,5.8,34397,17751,19.9,12161,11906,-2.1,43.1
Lincoln ,TN,18.4,22.5,5.6,41571,21811,16.3,33361,33637,0.8,58.5
Loudon ,TN,24.5,19.8,5.3,51074,27045,16.1,48556,50771,4.6,211.8
McMinn ,TN,18.7,21.7,5.6,39410,19744,18.3,52266,52626,0.7,121.5
McNairy ,TN,19.4,22.7,5.9,33452,18428,22.6,26075,26267,0.7,46.3
Macon ,TN,15.5,24.6,7,35306,17009,21.2,22248,23003,3.4,72.4
Madison ,TN,14.9,23,6.6,41617,23283,20,98294,98178,-0.1,176.4
Marion ,TN,18.1,21.3,5.1,41268,21399,18.2,28237,28407,0.6,56.7
Marshall ,TN,15.1,23.8,5.7,42291,20739,16.2,30617,31269,2.1,81.5
Maury ,TN,14.9,23.6,6.5,45336,22766,15.4,80956,85515,5.6,132
Meigs ,TN,19.8,20.5,4.8,35150,19403,20.7,11753,11701,-0.4,60.2
Monroe ,TN,19.6,21.6,5.2,37595,19643,19.6,44519,45233,1.6,70
Montgomery ,TN,8.6,27.2,8.7,49617,22380,16.4,172331,189961,10.2,319.6
Moore ,TN,20.8,20.1,3.8,46170,23307,13.2,6362,6319,-0.7,49.2
Morgan ,TN,16.1,19.7,4.2,37631,17747,20.8,21987,21660,-1.5,42.1
Obion ,TN,18.9,22.2,5.8,39467,20900,17.9,31807,30941,-2.7,58.4
Overton ,TN,19.4,22.3,5.5,34604,18347,22.4,22083,22028,-0.3,50.9
Perry ,TN,21,21.6,5.5,32845,17214,21.1,7915,7822,-1.2,19.1
Pickett ,TN,25.2,18.6,3.9,35184,21942,19.2,5077,5124,0.9,31.2
Polk ,TN,19.4,20.6,4.7,39074,20274,17.3,16825,16730,-0.6,38.7
Putnam ,TN,16.2,21.3,5.8,33709,20517,26.5,72321,74165,2.5,180.3
Rhea ,TN,17.6,23.1,5.5,36741,18952,22.6,31809,32641,2.6,100.9
Roane ,TN,21.2,19.8,4.6,42223,23936,15,54181,52748,-2.6,150.2
Robertson ,TN,13.5,25.1,6.7,52792,23809,13,66283,68079,2.7,139.2
Rutherford ,TN,9.6,25,6.5,55401,25077,13,262604,288906,10,424
Scott ,TN,15.6,24.5,6.3,28401,17121,28.3,22228,21987,-1.1,41.8
Sequatchie ,TN,19.2,21.8,5.2,36434,20899,17.4,14112,14704,4.1,53.1
Sevier ,TN,17.7,21.1,5.5,43649,22242,14.5,89889,95110,5.8,151.7
Shelby ,TN,11.6,25.5,7.2,46250,25549,20.8,927644,938803,1.2,1215.5
Smith ,TN,15.4,23.4,5.7,42383,21153,19.4,19166,19009,-0.8,61
Stewart ,TN,18.9,21.5,5.1,39781,21701,20,13324,13279,-0.3,29
Sullivan ,TN,20.3,19.9,5,39479,23850,18.3,156823,157047,0.1,379.4
Sumner ,TN,14.6,24.3,6,55509,27795,10.4,160645,172706,7.5,303.4
Tipton ,TN,13.1,25.6,6.1,52423,23054,13.4,61081,61623,0.9,133.3
Trousdale ,TN,15.5,22.8,5.5,43034,20491,13.6,7870,8002,1.7,68.9
Unicoi ,TN,21.8,19.4,4.4,32292,20152,21.7,18313,17963,-1.9,98.4
Union ,TN,16.3,23.3,6.5,34399,17426,23.6,19109,19113,0,85.5
Van Buren ,TN,20.8,19,4.2,33547,19450,22.5,5548,5633,1.5,20.3
Warren ,TN,16.8,23.6,5.9,34641,19531,21.5,39839,39969,0.3,92.1
Washington ,TN,16.9,19.8,5.2,42075,25355,18.3,122979,126242,2.7,376.7
Wayne ,TN,18.3,18.5,4.4,33198,17706,20.2,17021,16913,-0.6,23.2
Weakley ,TN,17,19.4,5.2,35273,19547,20.9,35021,34373,-1.9,60.3
White ,TN,19.2,22,5.9,34474,18205,19.9,25841,26301,1.8,68.6
Williamson ,TN,11.6,28.1,5.8,89779,41292,5.7,183182,205226,12,314.4
Wilson ,TN,14.5,24.2,5.8,60390,27864,10.2,113993,125376,10,199.7
Anderson ,TX,13.8,19.2,5.1,40653,18495,20.3,58458,57627,-1.4,55
Andrews ,TX,9.9,30.6,9.3,57825,27429,12.5,14786,17477,18.2,9.9
Angelina ,TX,15,26.1,7,41354,20982,19.3,86771,87750,1.1,108.8
Aransas ,TX,26.6,18.6,4.6,42476,26953,19.6,23158,24972,7.8,91.9
Archer ,TX,18.1,21.7,3.5,56452,27800,11.3,9054,8811,-2.7,10
Armstrong ,TX,21.4,23.4,6.1,61635,26823,11.1,1901,1955,2.8,2.1
Atascosa ,TX,13.9,27.9,7.3,47543,20193,16.4,44911,47774,6.4,36.8
Austin ,TX,17.6,24.2,6.2,53265,25884,10.1,28417,29114,2.5,44
Bailey ,TX,15,30.3,9.4,46139,18676,13,7165,6910,-3.6,8.7
Bandera ,TX,24.6,17.4,4.1,49215,25364,15.3,20485,20892,2,25.9
Bastrop ,TX,13.7,25.5,6.1,51750,23342,16.5,74171,78069,5.3,83.5
Baylor ,TX,25.1,21.3,5.8,33445,28021,15.4,3726,3592,-3.6,4.3
Bee ,TX,11.4,21.3,5.9,43690,16848,22.2,31861,32863,3.1,36.2
Bell ,TX,9.9,27.7,8.7,50060,22857,15.3,310235,329140,6.1,295.2
Bexar ,TX,11.3,26.2,7.2,50112,24253,17.6,1714773,1855866,8.2,1383.1
Blanco ,TX,22.4,19.2,4,49487,26781,9.3,10497,10812,3.1,14.8
Borden ,TX,20.6,21.6,5.4,71607,50042,0.9,641,652,1.7,0.7
Bosque ,TX,23.9,21.8,5.4,44742,23992,14.7,18212,17780,-2.4,18.5
Bowie ,TX,15.5,23.8,6.5,42346,22911,19.7,92565,93275,0.8,104.6
Brazoria ,TX,10.9,26.8,7.1,67603,29081,11.2,313166,338124,8,230.7
Brazos ,TX,8.3,20.5,6.2,38310,21720,29.8,194851,209152,7.3,332.8
Brewster ,TX,19.4,19.6,6.3,40477,27796,12.4,9232,9173,-0.6,1.5
Briscoe ,TX,23.9,21.8,5.5,36250,20697,18.6,1637,1536,-6.2,1.8
Brooks ,TX,18.2,28.1,9.2,21865,14345,38.3,7223,7194,-0.4,7.7
Brown ,TX,19.3,22.9,5.6,39776,21236,18.4,38106,37653,-1.2,40.3
Burleson ,TX,19.2,22.7,5.9,45651,21529,15,17187,17253,0.4,26.1
Burnet ,TX,21.1,21.6,5.3,48115,24998,16.3,42750,44943,5.2,43
Caldwell ,TX,13.3,24.2,5.7,44152,19673,18.7,38066,39810,4.6,69.8
Calhoun ,TX,16,25.2,6.6,47027,23381,17.6,21381,21797,1.9,42.2
Callahan ,TX,20.1,22.2,5.4,44902,22855,15.2,13544,13513,-0.2,15.1
Cameron ,TX,12.4,31.6,8.7,33179,14710,34.8,406220,420392,3.5,456
Camp ,TX,17.3,26.1,6.7,37079,19176,21.8,12401,12621,1.8,63.3
Carson ,TX,17.1,25.2,5.6,65026,26827,7.2,6182,6013,-2.7,6.7
Cass ,TX,21.2,22.5,5.9,35598,20104,20.9,30464,30261,-0.7,32.5
Castro ,TX,14,30.4,9,36402,19708,24.1,8062,7781,-3.5,9
Chambers ,TX,10.8,27.7,6.7,72489,30140,9.7,35096,38145,8.7,58.8
Cherokee ,TX,16.1,25.6,6.9,38378,18801,24.5,50845,50902,0.1,48.3
Childress ,TX,15.3,20.9,5.5,47532,20248,15.9,7041,7089,0.7,10.1
Clay ,TX,20.3,21.6,4.9,53776,25867,10.3,10752,10370,-3.6,9.9
Cochran ,TX,14.9,28.3,7.8,38650,17371,15.1,3127,2935,-6.1,4
Coke ,TX,26.9,19.7,5.1,40795,26407,11,3320,3254,-2,3.6
Coleman ,TX,23.4,21.9,5.7,31373,18967,27.6,8895,8430,-5.2,7
Collin ,TX,9.7,27.2,6.5,82762,37839,7.8,782341,885241,13.2,930
Collingsworth ,TX,17.5,28.3,7.5,41576,22847,20.4,3057,3017,-1.3,3.3
Colorado ,TX,20.7,22.9,5.7,45146,24348,16.6,20874,20719,-0.7,21.7
Comal ,TX,17.4,23.1,5.7,65839,32980,10.2,108472,123694,14,193.9
Comanche ,TX,22.9,23.1,6.1,36020,19268,26.4,13974,13550,-3,14.9
Concho ,TX,15.7,12.9,3.4,51411,19976,16.5,4087,4050,-0.9,4.2
Cooke ,TX,17.4,24.2,6.5,50067,25186,14.8,38437,38761,0.8,43.9
Coryell ,TX,9,24.8,7.3,49819,19357,13.4,75388,75562,0.2,71.7
Cottle ,TX,24.5,21.8,4,34639,21089,15.4,1505,1415,-6,1.7
Crane ,TX,11.3,30,8.4,50417,22291,13.8,4375,4950,13.1,5.6
Crockett ,TX,15.1,25.6,7.5,50475,23872,16.7,3719,3812,2.5,1.3
Crosby ,TX,18.9,26.8,7.1,38187,18959,26.5,6059,5899,-2.6,6.7
Culberson ,TX,16.8,25.1,7.5,37105,16227,25.2,2398,2266,-5.5,0.6
Dallam ,TX,8.7,32,9.3,40895,19752,18.1,6703,7135,6.4,4.5
Dallas ,TX,9.7,26.9,7.7,49481,26816,19.1,2368139,2518638,6.4,2718
Dawson ,TX,14.7,25,7.1,39714,17677,21.9,13833,13372,-3.3,15.4
Deaf Smith ,TX,11.9,31.9,9.1,41444,17532,18.9,19372,19195,-0.9,12.9
Delta ,TX,22,22,5.3,40375,20150,17.9,5231,5238,0.1,20.4
Denton ,TX,8.7,26.1,6.6,74155,33855,8.7,662614,753363,13.7,754.3
DeWitt ,TX,19.4,22.1,6.4,46454,23720,13.5,20097,20684,2.9,22.1
Dickens ,TX,20.9,18.9,6.2,38401,20578,18.8,2444,2218,-9.2,2.7
Dimmit ,TX,14.3,30.4,8.3,36681,17516,26.5,9996,11089,10.9,7.5
Donley ,TX,23.3,19.7,5.6,42411,21904,16.7,3677,3543,-5,4
Duval ,TX,17.2,25.7,7.2,34131,20181,19.7,11782,11533,-2.1,6.6
Eastland ,TX,21.1,21.4,5.5,34914,21125,19,18583,18176,-2.2,20.1
Ector ,TX,9.6,29.8,9,51466,24247,15.9,137130,153904,12.2,152.8
Edwards ,TX,26,20.2,5.6,43839,22015,18.4,2002,1879,-6.1,0.9
Ellis ,TX,11.9,27,6.4,61952,25662,11.9,149610,159317,6.5,159.9
El Paso ,TX,11.3,28.3,8.1,40157,18379,23.3,800647,833487,4.1,790.6
Erath ,TX,13.7,20.8,6,39586,21670,22.3,37890,40147,6,35
Falls ,TX,17.3,21.2,6.3,32908,16486,20.9,17866,16989,-4.9,23.3
Fannin ,TX,18.8,21,5.3,44355,20337,17.2,33915,33752,-0.5,38.1
Fayette ,TX,23.8,20.9,5,48015,27032,11.6,24554,24833,1.1,25.8
Fisher ,TX,23.1,20.7,4.4,42125,22709,17.1,3974,3831,-3.6,4.4
Floyd ,TX,18.7,27.2,7.7,42279,21655,20.3,6446,5949,-7.7,6.5
Foard ,TX,24.9,21.4,4.8,33750,20202,15.4,1336,1275,-4.6,1.9
Fort Bend ,TX,9.4,27.9,6.7,85297,34084,8.4,585375,685345,17.2,679.5
Franklin ,TX,20.3,24.2,5.9,45523,28189,14.4,10605,10600,0,37.3
Freestone ,TX,18.2,23.1,5.9,44502,22876,15.6,19816,19762,-0.3,22.6
Frio ,TX,11.6,24.4,7,35849,15863,24,17217,18531,7.6,15.2
Gaines ,TX,9.3,35.1,9.9,52910,21572,16.8,17526,19425,10.8,11.7
Galveston ,TX,12.8,24.7,6.4,61877,30926,13.3,291309,314198,7.9,769.9
Garza ,TX,11.4,18.4,4.6,47540,16175,15.5,6461,6435,-0.4,7.2
Gillespie ,TX,28.5,19.4,5,53668,30117,12,24837,25520,2.7,23.5
Glasscock ,TX,14.4,25.9,6,69107,31135,4.2,1226,1291,5.3,1.4
Goliad ,TX,20.3,21.7,4.7,50923,30031,14.7,7210,7549,4.7,8.5
Gonzales ,TX,16.1,26.5,7.1,39248,20288,21.9,19807,20462,3.3,18.6
Gray ,TX,15.3,25.7,7.3,43504,21738,14.6,22535,23044,2.3,24.3
Grayson ,TX,17,23.8,6.1,46429,24003,15.7,120877,123534,2.2,129.6
Gregg ,TX,14.2,25.8,7.6,45525,24064,17.6,121730,123204,1.2,445.4
Grimes ,TX,16,22,5.6,43994,20307,19.1,26604,27172,2.3,33.8
Guadalupe ,TX,13,26.2,6.3,61958,26184,9.7,131533,147250,11.9,184.9
Hale ,TX,13,27.7,8,41191,18004,22.3,36273,34720,-4.3,36.1
Hall ,TX,23.6,23.6,5.4,33006,19004,23.8,3353,3147,-6.1,3.8
Hamilton ,TX,25.8,20.8,5.2,40655,23067,12.6,8517,8199,-3.7,10.2
Hansford ,TX,14.5,29,6.9,49150,23969,17,5613,5509,-1.9,6.1
Hardeman ,TX,19.8,23.6,6.3,36377,19829,26.6,4139,3928,-5.1,6
Hardin ,TX,15.2,24.8,6.4,53013,25559,10.9,54635,55621,1.8,61.3
Harris ,TX,9.2,27.1,7.7,53137,27899,18.5,4092459,4441370,8.5,2402.4
Harrison ,TX,14.9,24.9,6.6,45675,23236,16,65631,67336,2.6,72.9
Hartley ,TX,14.6,21.1,5.3,65750,24566,8.6,6062,6089,0.4,4.1
Haskell ,TX,21.7,20.1,5.1,36857,22223,18.9,5899,5769,-2.2,6.5
Hays ,TX,10,23.6,6,58651,26873,17,157107,185025,17.8,231.7
Hemphill ,TX,12.5,31.6,8.7,56379,29544,11.7,3807,4180,9.8,4.2
Henderson ,TX,20.8,22,5.5,40900,21995,18.9,78532,79290,1,89.9
Hidalgo ,TX,10.4,33.6,9.7,34146,14222,34.8,774769,831073,7.3,493.2
Hill ,TX,20.1,23.9,6,40769,21182,17,35089,34848,-0.7,36.6
Hockley ,TX,13.5,26.9,7.4,50565,21984,15.7,22935,23577,2.8,25.2
Hood ,TX,24.1,20.6,5.2,55754,30046,12.1,51182,53921,5.4,121.7
Hopkins ,TX,17.2,25.2,6.7,43657,21606,19.3,35161,35921,2.2,45.8
Houston ,TX,20.6,19.7,5.1,33119,19090,19.7,23732,22741,-4.2,19.3
Howard ,TX,12.3,21.9,6,45612,19965,15.3,35012,36651,4.7,38.9
Hudspeth ,TX,17.2,24.5,6.4,22545,14142,44.1,3476,3211,-7.6,0.8
Hunt ,TX,15.4,23.9,6.2,44858,22341,19.9,86129,88493,2.7,102.5
Hutchinson ,TX,14.7,26.4,7.3,44731,23383,15.8,22150,21773,-2.1,25
Irion ,TX,18.3,22.2,6.4,50357,28055,8.7,1599,1574,-1.6,1.5
Jack ,TX,16.3,21.7,6,49038,24325,16.7,9044,8855,-2.1,9.9
Jackson ,TX,16.7,26.1,6.9,49528,23418,12.7,14075,14739,4.7,17
Jasper ,TX,18.2,24.3,6.7,40417,20254,17.8,35710,35552,-0.4,38
Jeff Davis ,TX,29.9,12,1.9,49056,26958,7.4,2342,2204,-5.9,1
Jefferson ,TX,13.4,23.7,6.8,42568,23236,21,252273,252235,0,287.9
Jim Hogg ,TX,15.8,30,9,36121,19212,14,5300,5255,-0.8,4.7
Jim Wells ,TX,14.1,28.2,8.1,40585,20452,21.7,40838,41353,1.3,47.2
Johnson ,TX,13.2,26.4,6.5,57535,24816,12,150934,157456,4.3,208.3
Jones ,TX,14.4,17.8,4.8,41297,14827,18.5,20202,19936,-1.3,21.8
Karnes ,TX,14.5,21.2,5.8,42862,19899,23.3,14824,14906,0.6,19.8
Kaufman ,TX,11.8,27.6,6.9,61194,24954,13.3,103350,111236,7.6,132.4
Kendall ,TX,19.1,23.4,4.9,73410,35827,9.3,33410,38880,16.4,50.4
Kenedy ,TX,15.3,25.5,7.3,43438,15157,32.8,416,400,-3.8,0.3
Kent ,TX,26.9,21.5,3.4,46875,24839,8.6,808,785,-2.8,0.9
Kerr ,TX,26.8,19.4,5.1,43601,26334,14.9,49625,50562,1.9,45
Kimble ,TX,26.5,19,4.9,43424,27502,19.5,4607,4438,-3.7,3.7
King ,TX,17.6,20.6,7.6,65000,29836,5.9,286,262,-8.4,0.3
Kinney ,TX,25.3,19.1,4.5,33257,16700,25.7,3598,3526,-2,2.6
Kleberg ,TX,12.4,24.5,7.3,40566,18918,24.5,32061,32190,0.4,36.4
Knox ,TX,20.7,26.1,7.5,34295,19396,20.8,3719,3858,3.7,4.4
Lamar ,TX,18.4,23.7,6.5,40104,21468,19.1,49793,49523,-0.5,54.9
Lamb ,TX,16.3,28.3,8.3,36727,18744,22.1,13977,13574,-2.9,13.8
Lampasas ,TX,18,23.4,5.9,49277,23423,16.9,19677,20156,2.4,27.6
La Salle ,TX,13.2,20.7,6.7,26756,13307,21.7,6886,7474,8.5,4.6
Lavaca ,TX,21.9,23.6,6,44149,24299,8.3,19263,19721,2.4,19.9
Lee ,TX,17.7,22.6,5.7,51534,25123,12.4,16612,16742,0.8,26.4
Leon ,TX,23.4,22.3,6.7,44452,24170,17.7,16801,16861,0.4,15.7
Liberty ,TX,12.7,25.1,6.8,47228,19740,18.4,75643,78117,3.3,65.3
Limestone ,TX,17.5,23.1,6.3,38823,19352,21.5,23384,23524,0.6,25.8
Lipscomb ,TX,14.4,26.7,6.2,57978,29017,10.9,3302,3553,7.6,3.5
Live Oak ,TX,19.8,20,4.9,42829,21016,17.1,11531,12091,4.9,11.1
Llano ,TX,33.9,15.5,4.3,44094,33634,14.1,19301,19510,1.1,20.7
Loving ,TX,15.1,30.2,9.3,68750,34068,12,82,86,4.9,0.1
Lubbock ,TX,11.8,24.2,6.8,44397,23773,20.4,278831,293974,5.4,311.3
Lynn ,TX,15.8,27.3,7.1,44375,21639,20.2,5915,5771,-2.4,6.6
McCulloch ,TX,21.7,23.4,6.2,39194,20677,16.6,8283,8199,-1,7.8
McLennan ,TX,13.4,24.8,7.1,41922,21660,22,234906,243441,3.6,226.5
McMullen ,TX,22.9,20.5,4.1,39500,27375,19.2,707,805,13.9,0.6
Madison ,TX,14.7,21.5,5.7,41732,15131,25.2,13664,13861,1.4,29.3
Marion ,TX,23.6,18.4,4.5,31967,20337,23.2,10546,10149,-3.7,27.7
Martin ,TX,12.2,30.2,8.9,42607,20859,15.8,4799,5460,13.8,5.2
Mason ,TX,27.4,20.1,4.1,46865,27504,13.6,4012,4071,1.5,4.3
Matagorda ,TX,15.8,25.5,7.1,43096,23389,21.1,36702,36519,-0.5,33.4
